Date,Open,High,Low,Close,Adj Close,Volume
1997-01-07,18.781250,18.843750,18.500000,18.843750,8.055605,1981600
1997-01-08,18.843750,19.187500,18.781250,18.781250,8.028894,2281200
1997-01-09,18.781250,19.312500,18.750000,19.031250,8.135762,2854800
1997-01-10,19.031250,19.500000,18.687500,19.500000,8.336153,2810000
1997-01-13,19.656250,19.906250,19.656250,19.843750,8.483104,2962000
1997-01-14,19.843750,19.937500,19.562500,19.562500,8.362868,2094000
1997-01-15,19.531250,19.531250,19.375000,19.375000,8.282713,1277200
1997-01-16,19.375000,19.437500,19.187500,19.437500,8.484599,1544800
1997-01-17,19.437500,19.687500,19.312500,19.687500,8.593726,2290000
1997-01-20,19.687500,19.718750,19.531250,19.625000,8.566444,2191200
1997-01-21,19.375000,19.375000,19.000000,19.093750,8.334550,8047600
1997-01-22,19.093750,19.343750,18.937500,18.968750,8.279986,5375600
1997-01-23,18.968750,19.250000,18.812500,18.843750,8.225420,5138800
1997-01-24,18.843750,18.937500,18.656250,18.812500,8.211782,5725600
1997-01-27,18.812500,19.031250,18.781250,18.968750,8.279986,4845600
1997-01-28,18.968750,19.281250,18.843750,18.937500,8.266348,2250000
1997-01-29,18.937500,19.062500,18.875000,19.000000,8.293627,4508000
1997-01-30,19.031250,19.343750,19.031250,19.312500,8.430034,3437200
1997-01-31,19.343750,19.531250,19.343750,19.406250,8.470960,2492800
1997-02-03,19.375000,19.375000,19.062500,19.156250,8.361832,1745600
1997-02-04,19.156250,19.468750,19.093750,19.375000,8.457318,2097200
1997-02-05,19.375000,19.656250,19.375000,19.406250,8.470960,2664400
1997-02-06,19.406250,19.500000,19.312500,19.437500,8.484599,1992800
1997-02-07,19.500000,19.875000,19.500000,19.875000,8.675569,1752000
1997-02-10,19.875000,20.078125,19.750000,19.781250,8.634647,2420000
1997-02-11,19.781250,19.843750,19.562500,19.781250,8.634647,1576400
1997-02-12,19.781250,19.875000,19.625000,19.875000,8.675569,1856000
1997-02-13,19.875000,20.843750,19.812500,20.781250,9.071152,4056000
1997-02-14,20.781250,20.781250,19.937500,19.937500,8.702851,3254800
1997-02-18,19.937500,19.968750,19.656250,19.968750,8.716497,3345600
1997-02-19,19.968750,20.406250,19.875000,20.093750,8.771057,2011600
1997-02-20,20.031250,20.031250,19.687500,19.687500,8.593726,2542000
1997-02-21,19.718750,19.937500,19.718750,19.906250,8.689215,1776400
1997-02-24,19.906250,20.218750,19.781250,20.218750,8.825622,2583200
1997-02-25,20.218750,20.281250,20.031250,20.187500,8.811976,1229200
1997-02-26,20.187500,20.343750,19.875000,20.156250,8.798339,2026400
1997-02-27,20.093750,20.093750,19.875000,19.906250,8.689215,1660800
1997-02-28,19.875000,19.875000,19.562500,19.562500,8.539160,1650800
1997-03-03,19.562500,19.718750,19.437500,19.687500,8.593726,1607200
1997-03-04,19.687500,19.906250,19.500000,19.531250,8.525522,1567200
1997-03-05,19.593750,20.000000,19.593750,19.968750,8.716497,1416400
1997-03-06,19.968750,20.187500,19.906250,20.093750,8.771057,3484000
1997-03-07,20.093750,20.437500,20.093750,20.375000,8.893823,1282800
1997-03-10,20.375000,20.406250,20.062500,20.406250,8.907465,1680800
1997-03-11,20.375000,20.375000,20.062500,20.062500,8.757417,1405600
1997-03-12,20.062500,20.281250,19.968750,20.156250,8.798339,1468000
1997-03-13,20.125000,20.125000,19.781250,19.937500,8.702851,2328800
1997-03-14,19.968750,20.312500,19.968750,20.281250,8.852902,1394400
1997-03-17,20.281250,20.343750,20.125000,20.125000,8.784698,2118000
1997-03-18,20.125000,20.218750,19.937500,20.031250,8.743777,1991600
1997-03-19,20.031250,20.156250,19.937500,20.156250,8.798339,1285600
1997-03-20,20.156250,20.218750,19.906250,20.156250,8.798339,1518400
1997-03-21,20.156250,20.312500,20.156250,20.281250,8.852902,1478800
1997-03-24,20.281250,20.937500,20.156250,20.843750,9.098436,1894000
1997-03-25,20.843750,20.843750,20.468750,20.570313,8.979080,2379200
1997-03-26,20.570313,20.593750,20.218750,20.250000,8.839263,3053600
1997-03-27,20.250000,20.406250,19.968750,20.031250,8.743777,1777200
1997-03-31,20.031250,20.218750,19.843750,20.062500,8.757417,2098400
1997-04-01,20.062500,20.062500,19.687500,19.750000,8.621007,2216400
1997-04-02,19.750000,20.000000,19.562500,19.593750,8.552804,2036000
1997-04-03,19.593750,19.625000,19.312500,19.312500,8.430034,2724800
1997-04-04,19.312500,19.875000,19.093750,19.781250,8.634647,1886000
1997-04-07,19.781250,19.843750,19.593750,19.687500,8.593726,1009200
1997-04-08,19.593750,19.593750,19.406250,19.468750,8.498241,1867200
1997-04-09,19.500000,19.687500,19.500000,19.562500,8.539160,1677600
1997-04-10,19.562500,19.562500,19.343750,19.437500,8.484599,1726000
1997-04-11,19.406250,19.406250,19.187500,19.218750,8.389115,1229600
